ddodyear,censuscode,deathcount
2019,0690,3
2019,0770,64
2019,1070,1
2019,1090,2
2019,1170,2
2019,1180,5
2019,1190,1
2019,1270,7
2019,1290,3
2019,1370,1
2019,1480,3
2019,1590,2
2019,1691,8
2019,1870,8
2019,1990,9
2019,2290,5
2019,2370,1
2019,2390,1
2019,2480,1
2019,2490,2
2019,2670,8
2019,2680,1
2019,2770,4
2019,2780,1
2019,2870,1
2019,2880,1
2019,2980,3
2019,2990,2
2019,3080,1
2019,3291,1
2019,3380,1
2019,3390,9
2019,3490,1
2019,3570,8
2019,3580,9
2019,3590,8
2019,3680,4
2019,3770,5
2019,3780,2
2019,3875,2
2019,3895,4
2019,3960,3
2019,3980,4
2019,3990,22
2019,4090,2
2019,4170,1
2019,4180,2
2019,4270,1
2019,4280,1
2019,4380,1
2019,4470,8
2019,4590,3
2019,4670,12
2019,4680,2
2019,4690,1
2019,4770,3
2019,4780,3
2019,4795,3
2019,4870,4
2019,4890,2
2019,4971,17
2019,4972,1
2019,4980,5
2019,5070,3
2019,5080,3
2019,5090,1
2019,5170,8
2019,5190,1
2019,5275,4
2019,5280,1
2019,5370,4
2019,5381,4
2019,5391,1
2019,5470,1
2019,5490,3
2019,5570,1
2019,5680,2
2019,5790,43
2019,6070,7
2019,6080,11
2019,6090,4
2019,6170,25
2019,6180,5
2019,6290,10
2019,6370,10
2019,6380,4
2019,6390,10
2019,6470,5
2019,6480,6
2019,6570,2
2019,6670,6
2019,6680,16
2019,6690,1
2019,6770,3
2019,6870,27
2019,6890,2
2019,6970,8
2019,6991,15
2019,6992,6
2019,7071,23
2019,7072,3
2019,7270,20
2019,7280,14
2019,7290,8
2019,7370,10
2019,7380,14
2019,7390,4
2019,7460,3
2019,7490,4
2019,7570,3
2019,7580,1
2019,7590,4
2019,7670,5
2019,7680,6
2019,7690,11
2019,7770,3
2019,7780,1
2019,7860,91
2019,7870,15
2019,7880,1
2019,7890,3
2019,7970,8
2019,7980,7
2019,8070,1
2019,8080,3
2019,8090,12
2019,8170,11
2019,8180,2
2019,8191,93
2019,8192,1
2019,8270,12
2019,8290,4
2019,8370,14
2019,8470,10
2019,8562,1
2019,8563,1
2019,8564,24
2019,8590,3
2019,8660,12
2019,8670,1
2019,8680,51
2019,8690,5
2019,8770,18
2019,8790,2
2019,8870,6
2019,8891,6
2019,8970,2
2019,8980,7
2019,8990,1
2019,9070,2
2019,9080,2
2019,9090,3
2019,9160,18
2019,9170,7
2019,9190,1
2019,9290,3
2019,9370,1
2019,9380,2
2019,9390,24
2019,9470,15
2019,9480,7
2019,9490,3
2019,9570,3
2019,9590,1
2020,0170,16
2020,0180,2
2020,0270,3
2020,0280,1
2020,0290,2
2020,0480,1
2020,0570,10
2020,0670,1
2020,0690,5
2020,0770,99
2020,1090,2
2020,1190,2
2020,1270,2
2020,1290,7
2020,1480,4
2020,1670,1
2020,1691,5
2020,1770,2
2020,1870,6
2020,1890,3
2020,1990,8
2020,2190,1
2020,2290,1
2020,2370,1
2020,2390,1
2020,2470,1
2020,2490,3
2020,2590,1
2020,2670,4
2020,2680,2
2020,2770,6
2020,2790,3
2020,2870,7
2020,2880,2
2020,2980,2
2020,3080,1
2020,3291,5
2020,3365,2
2020,3370,1
2020,3390,7
2020,3490,2
2020,3570,7
2020,3580,4
2020,3590,8
2020,3680,5
2020,3770,6
2020,3875,1
2020,3895,4
2020,3960,1
2020,3970,4
2020,3980,2
2020,3990,35
2020,4170,2
2020,4180,1
2020,4265,1
2020,4270,1
2020,4280,5
2020,4380,1
2020,4470,2
2020,4590,2
2020,4670,7
2020,4680,2
2020,4690,2
2020,4770,4
2020,4780,2
2020,4795,1
2020,4870,6
2020,4890,1
2020,4971,11
2020,4980,3
2020,5070,2
2020,5080,2
2020,5090,3
2020,5170,4
2020,5180,1
2020,5190,2
2020,5275,1
2020,5381,3
2020,5391,1
2020,5470,3
2020,5480,2
2020,5490,5
2020,5580,3
